"Sep"	"Position"	"Tube ID"	"Rack ID"	"Box"	"Frys"	"DNA_extract"	"Comment"
"SEP0202792"	"A01"	4025818958	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0203063"	"A02"	4025818959	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147519"	"A03"	4025818960	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202799"	"A04"	4025818961	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0065521"	"A05"	4025818962	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147543"	"A06"	4025818963	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0035526"	"A07"	4025818964	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0031626"	"A08"	4025818965	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0164503"	"A09"	4025818966	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147516"	"A10"	4025818967	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147514"	"A11"	4025818968	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202813"	"A12"	4025818969	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147503"	"B01"	4025818970	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0022096"	"B02"	4025818971	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0022092"	"B03"	4025818972	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147520"	"B04"	4025818973	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147518"	"B05"	4025818974	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0022091"	"B06"	4025818975	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147524"	"B07"	4025818976	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202806"	"B08"	4025818977	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147510"	"B09"	4025818978	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202816"	"B10"	4025818979	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202811"	"B11"	4025818980	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202815"	"B12"	4025818981	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0203050"	"C01"	4025818982	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147505"	"C02"	4025818983	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0031628"	"C03"	4025818984	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0035527"	"C04"	4025818985	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202795"	"C05"	4025818986	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0152378"	"C06"	4025818987	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0022093"	"C07"	4025818988	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202805"	"C08"	4025818989	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0065522"	"C09"	4025818990	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147506"	"C10"	4025818991	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202798"	"C11"	4025818992	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202829"	"C12"	4025818993	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0031632"	"D01"	4025818994	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0022094"	"D02"	4025818995	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147933"	"D03"	4025818996	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0031631"	"D04"	4025818997	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0065520"	"D05"	4025818998	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202831"	"D06"	4025818999	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147541"	"D07"	4025819000	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147525"	"D08"	4025819001	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0065519"	"D09"	4025819002	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202810"	"D10"	4025819003	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0065525"	"D11"	4025819004	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147934"	"D12"	4025819005	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0164504"	"E01"	4025819006	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147513"	"E02"	4025819007	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0031627"	"E03"	4025819008	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0022095"	"E04"	4025819009	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0065524"	"E05"	4025819010	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202791"	"E06"	4025819011	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0035492"	"E07"	4025819012	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0203048"	"E08"	4025819013	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202796"	"E09"	4025819014	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202804"	"E10"	4025819015	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0203054"	"E11"	4025819016	3000142680	2625	"MPB-Kol"	"Yes"	NA
"Blank"	"E12"	4025819017	3000142680	NA	NA	"Yes"	NA
"SEP0164682"	"F01"	4025819018	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202830"	"F02"	4025819019	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0127527"	"F03"	4025819020	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0127528"	"F04"	4025819021	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147540"	"F05"	4025819022	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202802"	"F06"	4025819023	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147534"	"F07"	4025819024	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0202828"	"F08"	4025819025	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147504"	"F09"	4025819026	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147509"	"F10"	4025819027	3000142680	2625	"MPB-Kol"	"Yes"	NA
"SEP0147511"	"F11"	4025819028	3000142680	2625	"MPB-Kol"	"Yes"	NA
"Blank"	"F12"	4025819029	3000142680	NA	NA	"Yes"	NA
"SEP0202801"	"G01"	4025819030	3000142680	2625	"MPB-Kol"	"Yes"	NA
