SEP	Position	Tube ID	Rack ID	Box	Frys	DNA_extract	Comment
SEP0202803	A01	4025818766	3000142942	2625	MPB-Kol	Yes	NA
SEP0035494	A02	4025818767	3000142942	2625	MPB-Kol	Yes	NA
SEP0147517	A03	4025818768	3000142942	2625	MPB-Kol	Yes	NA
SEP0147537	A04	4025818769	3000142942	2625	MPB-Kol	Yes	NA
SEP0202814	A05	4025818770	3000142942	2625	MPB-Kol	Yes	NA
SEP0203049	A06	4025818771	3000142942	2625	MPB-Kol	Yes	NA
SEP0136026	A07	4025818772	3000142942	2625	MPB-Kol	Yes	NA
SEP0147515	A08	4025818773	3000142942	2625	MPB-Kol	Yes	NA
SEP0147932	A09	4025818774	3000142942	2625	MPB-Kol	Yes	NA
SEP0147522	A10	4025818775	3000142942	2625	MPB-Kol	Yes	NA
SEP0147508	A11	4025818776	3000142942	2625	MPB-Kol	Yes	NA
SEP0147507	A12	4025818777	3000142942	2625	MPB-Kol	Yes	NA
SEP0065526	B01	4025818778	3000142942	2625	MPB-Kol	Yes	NA
SEP0147529	B02	4025818779	3000142942	2625	MPB-Kol	Yes	NA
SEP0149317	B03	4025818780	3000142942	2625	MPB-Kol	Yes	NA
SEP0149316	B04	4025818781	3000142942	2625	MPB-Kol	Yes	NA
SEP0149318	B05	4025818782	3000142942	2625	MPB-Kol	Yes	NA
SEP0149319	B06	4025818783	3000142942	2625	MPB-Kol	Yes	NA
SEP0147530	B07	4025818784	3000142942	2625	MPB-Kol	Yes	NA
SEP0035493	B08	4025818785	3000142942	2625	MPB-Kol	Yes	NA
SEP0127529	B09	4025818786	3000142942	2625	MPB-Kol	Yes	NA
SEP0035498	B10	4025818787	3000142942	2625	MPB-Kol	Yes	NA
SEP0147528	B11	4025818788	3000142942	2625	MPB-Kol	Yes	NA
SEP0202975	B12	4025818789	3000142942	2625	MPB-Kol	Yes	NA
SEP0202812	C01	4025818790	3000142942	2625	MPB-Kol	Yes	NA
SEP0202817	C02	4025818791	3000142942	2625	MPB-Kol	Yes	NA
SEP0031630	C03	4025818792	3000142942	2625	MPB-Kol	Yes	NA
SEP0203064	C04	4025818793	3000142942	2625	MPB-Kol	Yes	NA
SEP0164656	C05	4025818794	3000142942	2625	MPB-Kol	Yes	NA
SEP0164502	C06	4025818795	3000142942	2625	MPB-Kol	Yes	NA
SEP0164565	C07	4025818796	3000142942	2625	MPB-Kol	Yes	NA
SEP0164657	C08	4025818797	3000142942	2625	MPB-Kol	Yes	NA
SEP0152371	C09	4025818798	3000142942	2625	MPB-Kol	Yes	NA
SEP0152373	C10	4025818799	3000142942	2625	MPB-Kol	Yes	NA
SEP0164575	C11	4025818800	3000142942	2625	MPB-Kol	Yes	NA
SEP0164620	C12	4025818801	3000142942	2625	MPB-Kol	Yes	NA
SEP0164625	D01	4025818802	3000142942	2625	MPB-Kol	Yes	NA
SEP0164691	D02	4025818803	3000142942	2625	MPB-Kol	Yes	NA
SEP0164622	D03	4025818804	3000142942	2625	MPB-Kol	Yes	NA
SEP0152379	D04	4025818805	3000142942	2625	MPB-Kol	Yes	NA
SEP0036595	D05	4025818806	3000142942	2625	MPB-Kol	Yes	NA
SEP0036598	D06	4025818807	3000142942	2625	MPB-Kol	Yes	NA
SEP0164615	D07	4025818808	3000142942	2625	MPB-Kol	Yes	NA
SEP0164676	D08	4025818809	3000142942	2625	MPB-Kol	Yes	NA
SEP0164610	D09	4025818810	3000142942	2625	MPB-Kol	Yes	NA
SEP0164681	D10	4025818811	3000142942	2625	MPB-Kol	Yes	NA
SEP0164507	D11	4025818812	3000142942	2625	MPB-Kol	Yes	NA
SEP0164613	D12	4025818813	3000142942	2625	MPB-Kol	Yes	NA
SEP0164605	E01	4025818814	3000142942	2625	MPB-Kol	Yes	NA
SEP0164636	E02	4025818815	3000142942	2625	MPB-Kol	Yes	NA
SEP0164567	E03	4025818816	3000142942	2625	MPB-Kol	Yes	NA
SEP0152380	E04	4025818817	3000142942	2625	MPB-Kol	Yes	NA
SEP0164607	E05	4025818818	3000142942	2625	MPB-Kol	Yes	NA
SEP0164571	E06	4025818819	3000142942	2625	MPB-Kol	Yes	NA
SEP0164687	E07	4025818820	3000142942	2625	MPB-Kol	Yes	NA
SEP0164623	E08	4025818821	3000142942	2625	MPB-Kol	Yes	NA
SEP0164678	E09	4025818822	3000142942	2625	MPB-Kol	Yes	NA
SEP0164680	E10	4025818823	3000142942	2625	MPB-Kol	Yes	NA
SEP0164700	E11	4025818824	3000142942	2625	MPB-Kol	Yes	NA
SEP0164688	E12	4025818825	3000142942	2625	MPB-Kol	Yes	NA
SEP0036596	F01	4025818826	3000142942	2625	MPB-Kol	Yes	NA
SEP0164674	F02	4025818827	3000142942	2625	MPB-Kol	Yes	NA
SEP0164616	F03	4025818828	3000142942	2625	MPB-Kol	Yes	NA
SEP0164606	F04	4025818829	3000142942	2625	MPB-Kol	Yes	NA
SEP0164686	F05	4025818830	3000142942	2625	MPB-Kol	Yes	NA
SEP0164684	F06	4025818831	3000142942	2625	MPB-Kol	Yes	NA
SEP0164667	F07	4025818832	3000142942	2625	MPB-Kol	Yes	NA
SEP0164621	F08	4025818833	3000142942	2625	MPB-Kol	Yes	NA
SEP0164672	F09	4025818834	3000142942	2625	MPB-Kol	Yes	NA
SEP0152382	F10	4025818835	3000142942	2625	MPB-Kol	Yes	NA
SEP0164627	F11	4025818836	3000142942	2625	MPB-Kol	Yes	NA
SEP0152370	F12	4025818837	3000142942	2625	MPB-Kol	Yes	NA
SEP0164603	G01	4025818838	3000142942	2625	MPB-Kol	Yes	NA
SEP0164602	G02	4025818839	3000142942	2625	MPB-Kol	Yes	NA
SEP0164637	G03	4025818840	3000142942	2625	MPB-Kol	Yes	NA
SEP0164612	G04	4025818841	3000142942	2625	MPB-Kol	Yes	NA
SEP0036597	G05	4025818842	3000142942	2625	MPB-Kol	Yes	NA
SEP0164639	G06	4025818843	3000142942	2625	MPB-Kol	Yes	NA
SEP0164685	G07	4025818844	3000142942	2625	MPB-Kol	Yes	NA
SEP0152372	G08	4025818845	3000142942	2625	MPB-Kol	Yes	NA
Empty	G09	4025818846	3000142942	2625	MPB-Kol		
Empty	G10	4025818847	3000142942	2625	MPB-Kol		
Empty	G11	4025818848	3000142942	2625	MPB-Kol		
Empty	G12	4025818849	3000142942	2625	MPB-Kol		
Empty	H01	4025818850	3000142942	2625	MPB-Kol		
Empty	H02	4025818851	3000142942	2625	MPB-Kol		
Empty	H03	4025818852	3000142942	2625	MPB-Kol		
Empty	H04	4025818853	3000142942	2625	MPB-Kol		
